"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2015";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2016";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2017";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2018";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2019";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2020";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Male";"2021";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2013";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2014";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2015";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2016";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2017";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2018";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2019";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2020";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"0-14";"Female";"2021";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2011";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2012";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2013";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2014";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2015";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2016";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2017";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2018";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2019";"0.00"
"Incidence";"Liechtenstein(*)";"Lung";"15-29";"Female";"2020";"0.00"
