"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2002";"0.00"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2003";"0.00"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2006";"0.03"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2007";"0.06"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2008";"0.06"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2009";"0.03"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2010";"0.03"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2011";"0.03"
"Incidence";"Ukraine";"Lung";"0-14";"Female";"2012";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2002";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2003";"0.03"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2004";"0.03"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2005";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2006";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2007";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2008";"0.03"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2009";"0.06"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2010";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2011";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2002";"0.02"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2005";"0.03"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2006";"0.09"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2008";"0.06"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2009";"0.03"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2010";"0.03"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2011";"0.06"
"Incidence";"Ukraine";"Lung";"0-14";"Male";"2012";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2002";"0.02"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2003";"0.03"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2004";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2005";"0.03"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2006";"0.06"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2007";"0.03"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2008";"0.03"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2009";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2010";"0.00"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2011";"0.06"
"Mortality";"Ukraine";"Lung";"0-14";"Male";"2012";"0.00"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2002";"0.48"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2003";"0.36"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2004";"0.53"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2005";"0.31"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2006";"0.31"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2007";"0.27"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2008";"0.41"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2009";"0.21"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2010";"0.32"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2011";"0.22"
"Mortality";"Ukraine";"Lung";"15-29";"Male";"2012";"0.22"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2002";"0.59"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2003";"0.71"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2004";"0.53"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2005";"0.51"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2006";"0.40"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2007";"0.35"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2008";"0.59"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2009";"0.54"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2010";"0.38"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2011";"0.41"
"Incidence";"Ukraine";"Lung";"15-29";"Male";"2012";"0.46"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2002";"0.23"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2003";"0.50"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2004";"0.22"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2005";"0.28"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2006";"0.43"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2007";"0.44"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2008";"0.21"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2009";"0.41"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2010";"0.42"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2011";"0.47"
"Incidence";"Ukraine";"Lung";"15-29";"Female";"2012";"0.42"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2002";"0.15"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2003";"0.24"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2004";"0.19"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2005";"0.21"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2006";"0.21"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2007";"0.15"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2008";"0.17"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2009";"0.23"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2010";"0.20"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2011";"0.08"
"Mortality";"Ukraine";"Lung";"15-29";"Female";"2012";"0.25"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2002";"2.61"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2003";"2.64"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2004";"2.95"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2005";"2.99"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2006";"2.56"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2007";"2.27"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2008";"2.52"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2009";"2.76"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2010";"2.71"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2011";"2.27"
"Incidence";"Ukraine";"Lung";"30-44";"Female";"2012";"2.75"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2002";"11.12"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2003";"10.14"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2004";"9.46"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2005";"10.36"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2006";"8.75"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2007";"8.75"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2008";"7.10"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2009";"7.97"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2010";"7.23"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2011";"7.31"
"Incidence";"Ukraine";"Lung";"30-44";"Male";"2012";"6.73"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2002";"7.66"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2003";"7.24"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2004";"6.72"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2005";"7.34"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2006";"6.37"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2007";"6.68"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2008";"5.24"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2009";"5.03"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2010";"5.07"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2011";"4.45"
"Mortality";"Ukraine";"Lung";"30-44";"Male";"2012";"4.83"
"Mortality";"Ukraine";"Lung";"30-44";"Female";"2002";"1.83"
"Mortality";"Ukraine";"Lung";"30-44";"Female";"2003";"1.66"
"Mortality";"Ukraine";"Lung";"30-44";"Female";"2004";"1.86"
